"","clust","gene.name","tail.prob.phi","class.phi","estimated.dispersion"
"1",7,"Lrrtm3",0.760217983651235,"DD",0.0400840518188231
"2",7,"Iyd",0.761126248864678,"DD",0.0180648365143539
"3",7,"Thbs1",0.76203451407812,"DD",0.0174345619563762
"4",7,"Gabrg3",0.76203451407812,"DD",0.0166416430294376
"5",7,"Cacna1e",0.763851044505005,"DD",0.0162278930370163
"6",7,"Prickle2",0.764759309718447,"DD",0.0150996815502259
"7",7,"Ptchd4",0.764759309718447,"DD",0.0168939735589595
"8",7,"Adora1",0.767484105358774,"DD",0.0163644461983005
"9",7,"A330069E16Rik",0.769300635785659,"DD",0.140359266943853
"10",7,"Rnf207",0.769300635785659,"DD",0.0148823500451706
"11",7,"Celf5",0.769300635785659,"DD",0.273615568975629
"12",7,"Hes1",0.770208900999101,"DD",0.249100892995848
"13",7,"Nid2",0.771117166212544,"DD",0.040662883951075
"14",7,"Rasgrf1",0.771117166212544,"DD",0.0180504903376823
"15",7,"Apobec2",0.788374205267948,"DD",0.0492362144572559
"16",7,"Sorbs2",0.818346957311545,"DD",0.996303173665399
"17",7,"Carf",0.83560399636695,"DD",0.148506405410324
"18",7,"Perp",0.838328792007277,"DD",0.0166190359854023
"19",7,"Neurod6",0.98728428701182,"DD",0.451015404029181
"20",7,"Itm2b",0.994550408719359,"DD",1.48285727939053
